epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,685.911,0.43378,0.87529,1,0.30593,0.000553129,0.000553129,0.000553129
2,1342.6,0.34071,0.86957,1,0.35433,0.000925845,0.000925845,0.000925845
3,1987.5,0.32837,0.86957,1,0.34226,0.00111519,0.00111519,0.00111519
4,2632.71,0.29456,0.89245,1,0.31495,0.000841835,0.000841835,0.000841835
5,3269.05,0.26046,0.90503,1,0.28783,0.00056678,0.00056678,0.00056678
6,3905.5,0.20703,0.9119,1,0.26683,0.000291725,0.000291725,0.000291725
