epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2432,2.28599,3.38421,2.19191,0.81702,0.13371,0.11511,0.05443,1.86779,3.11741,1.83699,0.000297589,0.000297589,0.000297589
2,124.765,1.9285,2.10032,1.94129,0.30043,0.23614,0.18557,0.09311,1.74849,1.91562,1.84818,0.00056095,0.00056095,0.00056095
3,187.25,1.80919,1.82782,1.94338,0.34997,0.26833,0.22552,0.12172,1.6981,1.73851,1.93086,0.000784316,0.000784316,0.000784316
4,249.993,1.75245,1.70151,1.9158,0.39348,0.26048,0.25466,0.13877,1.61387,1.64168,1.87681,0.000729018,0.000729018,0.000729018
5,312.582,1.70639,1.60492,1.90421,0.41676,0.28417,0.26817,0.14823,1.6237,1.60255,1.92726,0.000669024,0.000669024,0.000669024
6,371.883,1.63208,1.62371,1.9018,0.40193,0.30217,0.28002,0.15444,1.59786,1.57856,1.88305,0.00060903,0.00060903,0.00060903
7,430.437,1.60879,1.53113,1.86838,0.57033,0.33141,0.29616,0.16574,1.57232,1.49916,1.85659,0.000549036,0.000549036,0.000549036
8,489.272,1.59028,1.45122,1.86,0.56121,0.33883,0.29822,0.1692,1.57062,1.48489,1.88545,0.000489042,0.000489042,0.000489042
9,547.194,1.56324,1.42017,1.85804,0.54609,0.33641,0.31433,0.17476,1.56194,1.47193,1.88455,0.000429048,0.000429048,0.000429048
10,605.278,1.54504,1.39187,1.84898,0.56964,0.32604,0.3091,0.17572,1.56121,1.45396,1.8444,0.000369054,0.000369054,0.000369054
11,663.846,1.53585,1.36941,1.83619,0.58632,0.32446,0.318,0.18334,1.5492,1.41981,1.85233,0.00030906,0.00030906,0.00030906
12,720.748,1.5162,1.32595,1.81802,0.43459,0.33242,0.31959,0.18386,1.54609,1.4035,1.85733,0.000249066,0.000249066,0.000249066
13,775.715,1.51617,1.30616,1.82194,0.47619,0.33313,0.32466,0.18656,1.54652,1.40136,1.85972,0.000189072,0.000189072,0.000189072
14,832.883,1.50523,1.30079,1.80775,0.47469,0.34978,0.32332,0.18679,1.536,1.39493,1.84202,0.000129078,0.000129078,0.000129078
15,892.859,1.49974,1.28945,1.79276,0.51065,0.32166,0.3252,0.18908,1.53598,1.38622,1.8395,6.9084e-05,6.9084e-05,6.9084e-05
