epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.551,1.94119,2.74112,2.52636,0.44621,0.22751,0.21533,0.11358,1.58432,2.12879,2.15388,0.000300295,0.000300295,0.000300295
2,87.0907,1.68599,1.93592,2.29513,0.56188,0.31869,0.30092,0.16359,1.58586,1.69092,2.17397,0.000583386,0.000583386,0.000583386
3,126.795,1.63366,1.71009,2.23977,0.45921,0.38291,0.32847,0.18266,1.54026,1.62425,2.21061,0.000846479,0.000846479,0.000846479
4,166.601,1.60835,1.65193,2.25396,0.59321,0.30781,0.32374,0.18321,1.5309,1.61464,2.24644,0.000819009,0.000819009,0.000819009
5,206.437,1.5774,1.57164,2.2431,0.45202,0.35309,0.31739,0.18202,1.52095,1.54933,2.2368,0.000789012,0.000789012,0.000789012
6,247.233,1.55305,1.51675,2.22177,0.31507,0.41139,0.35452,0.20673,1.51714,1.4889,2.19633,0.000759015,0.000759015,0.000759015
7,287.812,1.54411,1.47534,2.21627,0.34639,0.37052,0.35085,0.19948,1.52767,1.45035,2.20463,0.000729018,0.000729018,0.000729018
8,328.088,1.51295,1.41866,2.17078,0.33014,0.42738,0.3569,0.2046,1.51483,1.46796,2.21742,0.000699021,0.000699021,0.000699021
9,366.89,1.49432,1.39187,2.14947,0.38356,0.37457,0.37748,0.21718,1.50378,1.42798,2.17815,0.000669024,0.000669024,0.000669024
10,406.121,1.47712,1.34752,2.13642,0.3899,0.38835,0.37258,0.2136,1.52596,1.43846,2.20255,0.000639027,0.000639027,0.000639027
11,446.136,1.47161,1.33044,2.11333,0.33437,0.43064,0.36711,0.20978,1.51084,1.42544,2.21567,0.00060903,0.00060903,0.00060903
12,487.089,1.44957,1.29949,2.11045,0.35699,0.42693,0.37188,0.21337,1.54246,1.39173,2.1932,0.000579033,0.000579033,0.000579033
13,527.816,1.43575,1.26671,2.09811,0.34678,0.41682,0.35852,0.20694,1.53872,1.38686,2.25992,0.000549036,0.000549036,0.000549036
14,568.042,1.41217,1.24132,2.07961,0.54513,0.38504,0.38547,0.22132,1.52423,1.39251,2.23958,0.000519039,0.000519039,0.000519039
15,607.069,1.41633,1.23207,2.07474,0.32812,0.44161,0.36488,0.2095,1.54459,1.39045,2.22589,0.000489042,0.000489042,0.000489042
16,646.937,1.39827,1.20377,2.05983,0.35664,0.39354,0.36892,0.21912,1.5269,1.41097,2.20109,0.000459045,0.000459045,0.000459045
17,687.429,1.37546,1.16796,2.05684,0.35239,0.41372,0.37374,0.2187,1.51904,1.37538,2.21841,0.000429048,0.000429048,0.000429048
18,727.917,1.3607,1.14366,2.0248,0.42502,0.37136,0.37602,0.21819,1.52367,1.35189,2.23057,0.000399051,0.000399051,0.000399051
19,768.344,1.34879,1.13361,2.02627,0.5179,0.39689,0.3846,0.22213,1.52514,1.38246,2.24654,0.000369054,0.000369054,0.000369054
20,808.287,1.34273,1.11583,2.02817,0.38035,0.38659,0.37508,0.21884,1.52791,1.36888,2.23224,0.000339057,0.000339057,0.000339057
21,863.376,1.26071,1.01353,1.96225,0.32951,0.43954,0.37071,0.21481,1.53802,1.38788,2.23561,0.00030906,0.00030906,0.00030906
22,902.43,1.2363,0.95222,1.95867,0.36557,0.41769,0.37385,0.21514,1.54202,1.37946,2.23259,0.000279063,0.000279063,0.000279063
23,942.334,1.22136,0.93673,1.94712,0.37861,0.405,0.37179,0.21942,1.54407,1.37985,2.23323,0.000249066,0.000249066,0.000249066
24,981.737,1.19856,0.89585,1.91011,0.36526,0.37865,0.36841,0.2145,1.5443,1.366,2.25622,0.000219069,0.000219069,0.000219069
25,1021.26,1.17379,0.8599,1.90976,0.34513,0.43149,0.37415,0.21773,1.5554,1.38262,2.2556,0.000189072,0.000189072,0.000189072
26,1059.69,1.16567,0.84691,1.87761,0.35351,0.40465,0.37336,0.22109,1.54563,1.41246,2.24908,0.000159075,0.000159075,0.000159075
27,1098.78,1.15545,0.83018,1.88295,0.36819,0.43535,0.36466,0.21353,1.55865,1.41418,2.27053,0.000129078,0.000129078,0.000129078
28,1138.42,1.14722,0.8236,1.87726,0.48636,0.4495,0.36631,0.21519,1.5587,1.39287,2.24819,9.9081e-05,9.9081e-05,9.9081e-05
29,1178.65,1.1169,0.78531,1.83269,0.36099,0.40337,0.3683,0.21754,1.54897,1.4065,2.25286,6.9084e-05,6.9084e-05,6.9084e-05
