epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,218.963,0.50772,0.86728,1,0.32006,0.000550615,0.000550615,0.000550615
2,480.557,0.35342,0.86613,1,0.33225,0.000832477,0.000832477,0.000832477
3,845.367,0.33035,0.86728,1,0.3194,0.000839284,0.000839284,0.000839284
4,1219.96,0.26743,0.89588,1,0.30265,0.000429253,0.000429253,0.000429253
