epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,136.352,0.5501,0.88202,1,0.27525,0.000543319,0.000543319,0.000543319
2,269.247,0.33526,0.91573,1,0.23066,0.000990186,0.000990186,0.000990186
3,417.48,0.31592,0.86517,1,0.31605,0.00132703,0.00132703,0.00132703
4,563.76,0.3135,0.90449,1,0.28291,0.0011719,0.0011719,0.0011719
5,702.184,0.28095,0.9073,1,0.24752,0.00100687,0.00100687,0.00100687
6,832.149,0.24542,0.91011,1,0.22682,0.000841835,0.000841835,0.000841835
7,976.204,0.19037,0.91292,1,0.21803,0.000676802,0.000676802,0.000676802
8,1116.86,0.16278,0.91854,1,0.20725,0.000511769,0.000511769,0.000511769
9,1245.2,0.15515,0.91854,1,0.22962,0.000346736,0.000346736,0.000346736
10,1391.45,0.1276,0.90449,1,0.23365,0.000181703,0.000181703,0.000181703
